experiment,modality,lost_mean,lost_std,drop_rate_mean,drop_rate_std,throughput_last_mean,throughput_last_std
exp1,t1,0.0,0.0,0.0,0.0,0.24692539756086532,0.003712029158012558
exp1,t2,514.75,18.561065645450878,0.0514821217398843,0.0018582770560238975,0.20114254630806044,0.003288810638937656
exp1,t3,315.15,18.47124365345396,0.03152296796311997,0.0018472613949751958,0.21700436837287485,0.0036283522394585876
exp1,t4,1776.7,35.09400908537254,0.1777738811965688,0.0035018768944666575,0.07427106297592158,0.0006864835262054915
exp1,overall,2606.6,43.786864168197866,0.2607789708995731,0.00437363808085557,0.7393433752177222,0.006183173577869265
exp2,t1,0.0,0.0,0.0,0.0,0.11784459110176577,0.002414169396993652
exp2,t2,0.0,0.0,0.0,0.0,0.11936244990054927,0.0027689806257706396
exp2,t3,26.8,4.299326752680678,0.0026822181551914757,0.00043139771215295583,0.11320199235669588,0.002165777313043413
exp2,t4,643.6,23.154856259995498,0.06441008888717284,0.0023177656163255694,0.053292800763457736,0.001392503479695505
exp2,overall,670.4,23.55061737932508,0.06709230704236431,0.0023575710886995223,0.40370183412246863,0.004486103531343375
exp3,t1,0.0,0.0,0.0,0.0,0.06282005456044226,0.001855462924710645
exp3,t2,0.0,0.0,0.0,0.0,0.06346812883768152,0.002240127504601529
exp3,t3,1.2,1.1516578439248717,0.00012012182748500556,0.0001152978393705238,0.06157278813793047,0.0023518196440787966
exp3,t4,253.4,12.741973737880727,0.025384949673674984,0.0012963324379146046,0.035735347270784375,0.0012160360062243142
exp3,overall,254.6,12.793913026369838,0.02550507150115999,0.0013014497229448141,0.2235963188068386,0.003933282739462922
exp4,t1,0.0,0.0,0.0,0.0,0.0633617425664432,0.0014251773491847997
exp4,t2,0.0,0.0,0.0,0.0,0.06288989263405263,0.0010493289924987965
exp4,t3,1.45,1.276302224561664,0.00014514114722140211,0.00012773804463500445,0.061328146683743735,0.0015750117490502123
exp4,t4,260.8,15.972344520253882,0.02616263062366899,0.0015777784379809416,0.03635525554028661,0.0010475375206070066
exp4,overall,262.25,16.02325612483634,0.026307771770890394,0.0015829408729970788,0.22393503742452614,0.0025904089788783614
exp5,t1,0.0,0.0,0.0,0.0,0.062385857173531886,0.0016458074977603594
exp5,t2,0.0,0.0,0.0,0.0,0.06364230052117076,0.0016168626674389914
exp5,t3,0.7,0.9233805168766387,7.003978042001764e-05,9.240549114178778e-05,0.061691054661845456,0.0018622018892106296
exp5,t4,257.1,17.247120278317098,0.025737672414009448,0.0017240676621500684,0.036283637544772054,0.0010742027402268128
exp5,overall,257.8,17.27182067628321,0.025807712194429466,0.00172654223187988,0.2240028499013202,0.003153511472681299
exp6,t1,0.0,0.0,0.0,0.0,0.06229071586498147,0.0014184061487982301
exp6,t2,0.0,0.0,0.0,0.0,0.0631079069980528,0.0014349874224752182
exp6,t3,1.2,1.5078740698501039,0.00012009524887536314,0.00015081123231324347,0.06228173702632779,0.0014648981877245797
exp6,t4,252.65,19.661008701434795,0.02530131733964087,0.0019479774232648973,0.03669845231447403,0.001065650938728116
exp6,overall,253.85,19.7187460901656,0.025421412588516233,0.001953806558833701,0.22437881220383607,0.002711568462941987
